title
Accurate Measurement Charges
Advertisement Expenses
AMC Charges
Audit Fees
Bank Charges
BIS License Fees
Bonus - Casual Workers
Bonus - Staff
Calibration Charges
Car Hire Charges
Carriage Charges
Casual Staff Wages (Project)
Commission Paid
Compensation Charges
Computer Accessories
Consultancy Charges
Contract Labour Wages
Contractor Payment
Convenience Charges
Courier Charges
Daily Wages
Discount Allowed
Discounting Charges
Donation & Subscription
Driver Salary
Electricity Bill
EPF Contribution
Equipment Rental
Ex-Gratia
Extra Wages
Factory Labour Wages
Factory Staff Wages
Flat Maintenance
Food & Accommodation
Fooding Charges
Freight Charges
Fuel Expenses
General Office Expenses
Gift & Greetings
Godown Rent
GST Paid
GST Payment
Guest Entertainment Charges
Hire Charges
Hotel Charges
House Rent
Housekeeping Charges
Inspection Fees
Insurance Charges
Interest - Bank CC Account
Interest - EPF
Interest - GST
Interest - Term Loan
Interest - Vehicle Loan
Interest Paid
Internet & Telephone Bill
Internet Charges
Labour Cess
Labour Charges
Labour Payment
Land Tax
Late Fee - GST
LC Inland Charges
Legal Expenses
Licence Fees
Loading & Unloading Charges
Machinery Hire Charges
Material Purchase
Medical Expenses
Medicine Expenses
Mess Expenses
Miscellaneous Expenses
Miscellaneous Purchase
NSIC Charges
Office Expenses
Office Maintenance
Office Staff Salary
Overtime Wages
Packing Charges
Parking Fees
Penalty - EPF
Postage & Stamp
Printing & Stationery
Production Labour Charges
Professional Fees
Project Advance
Project Expense
Rate Difference
Repair & Maintenance
Road Tax
Room Rent
Round Off
Salary/Wages
Sales Promotion
Security Deposit
Security Service Charges
Security Staff Salary
Service Charges
Site Expenses
Software Renewal
Staff Fooding Allowance
Staff Welfare
TDS Payment
Telephone Charges
Tender Dropping Charges
Tender Fees
Tender Paper Purchase
Testing Charges
Toll Tax
Trade Licence Fees
Transport Charges
Travel & Conveyance
Travelling & Conveyance
Travelling Expenses
Vehicle Repair Charges
Vendor Payment
Wages - Casual Workers
Water Bill
