sub_head,material_details,unit,is_active,created_by
HDPE Pipe Line Work,400 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,355 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,315 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,280 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,250 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,225 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,200 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,180 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,160 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,140 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,125 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,110 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,90 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,75 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,63 mm Pipe Laying,Mtr,true,+919883321834
HDPE Pipe Line Work,50 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,315 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,280 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,250 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,225 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,200 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,180 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,160 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,140 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,125 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,110 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,90 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,75 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,63 mm Pipe Laying,Mtr,true,+919883321834
PVC Pipe Line Work,50 mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,1000  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,900  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,800  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,750  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,700  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,600  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,500  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,450  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,400  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,350  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,300 mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,250  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,200  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,150  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,100  mm Pipe Laying,Mtr,true,+919883321834
DI Pipe Line Work,80  mm Pipe Laying,Mtr,true,+919883321834
MS Pipe Line Work,200  mm Pipe Laying,Mtr,true,+919883321834
